GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene symbol
FBgn0050472	0.250856910121591	0.0262317160549776	0.0572626105611937	0.458095008206883	0.646884185075142	NA	chr2R	15423184	15424139	-	protein_coding	CG30472
FBtr0472706_df_nrg	0	NA	NA	NA	NA	NA	chr2R	19661161	19661184	-	miRNA	NA
FBti0062490	0.146484977771025	0.00333265223763019	0.0572090489926864	0.0582539352831443	0.953546359483498	NA	chr2R	4823041	4823083	-	transposable_element	NA
FBti0060638	0.628140889987877	-0.0375030171114828	0.0745978088093489	-0.502736175633925	0.615149772011613	NA	chr2R	5115280	5115978	+	transposable_element	NA
FBti0059872	0	NA	NA	NA	NA	NA	chr2R	6369610	6369723	+	transposable_element	NA
FBti0060543	0	NA	NA	NA	NA	NA	chr2R	5246771	5247165	+	transposable_element	NA
FBgn0053437	0	NA	NA	NA	NA	NA	chr2R	19735140	19735275	-	rRNA	5SrRNA:CR33437
FBti0018978	2.42602053709345	0.0222528973883484	0.151623173584643	0.14676448765878	0.883317915834731	NA	chr2R	5543244	5547271	+	transposable_element	NA
FBti0060157	0	NA	NA	NA	NA	NA	chr2R	5130389	5130442	-	transposable_element	NA
FBgn0034458	0.149837787103529	0.024499444977583	0.0572188573434056	0.428170818416502	0.668526760313674	NA	chr2R	19511672	19513571	-	protein_coding	Ir56d
FBgn0263999	1.18746319332454	-0.0978027133713716	0.110000682675706	-0.88911005815941	0.373943933850938	NA	chr2R	21935001	21936863	-	protein_coding	CG43742
FBgn0053535	0.297142039344303	0.00109553963928598	0.0572602634707804	0.0191326335731065	0.984735298363714	NA	chr2R	19564872	19564944	-	tRNA	tRNA:Glu-TTC-1-3
FBti0060538	0.0715660842192608	-0.010959939289574	0.0569664628364392	-0.192392835079859	0.847434504345902	NA	chr2R	5242124	5242237	-	transposable_element	NA
FBti0063016	0	NA	NA	NA	NA	NA	chr2R	12128265	12128312	-	transposable_element	NA
FBtr0472807_df_nrg	0	NA	NA	NA	NA	NA	chr2R	20585253	20585275	-	miRNA	NA
FBgn0033589	0.22140387132279	0.0136299699046412	0.0574180887234984	0.23738111469153	0.81236113937165	NA	chr2R	11235251	11235755	+	protein_coding	CG13227
FBti0064077	0	NA	NA	NA	NA	NA	chr2R	4903201	4904439	+	transposable_element	NA
FBgn0050280	4.59798798063243	0.174982157312237	0.185218823649963	0.944732041074442	0.344795694693293	NA	chr2R	22113588	22114841	+	protein_coding	CG30280
FBti0063168	0	NA	NA	NA	NA	NA	chr2R	5717953	5718025	-	transposable_element	NA
FBti0060523	0	NA	NA	NA	NA	NA	chr2R	5202781	5202942	-	transposable_element	NA
FBgn0083941	0	NA	NA	NA	NA	NA	chr2R	23749317	23749891	-	protein_coding	CG34105
FBti0061422	0	NA	NA	NA	NA	NA	chr2R	25097793	25097857	+	transposable_element	NA
FBgn0034931	0	NA	NA	NA	NA	NA	chr2R	23925235	23926911	+	protein_coding	CG2812
FBgn0265306	0.0715660842192608	-0.010959939289574	0.0569664628364392	-0.192392835079859	0.847434504345902	NA	chr2R	8542795	8543542	-	ncRNA	lncRNA:CR44279
FBgn0250842	1.47789375688369	0.0227528860535608	0.113564009414265	0.200352965441381	0.841204541756721	NA	chr2R	12845543	12846596	-	protein_coding	CG17575
FBgn0260499	2.8300821814269	0.160820228876864	0.143091291122336	1.12389948832994	0.261055668426614	NA	chr2R	11442504	11451604	+	protein_coding	qvr
FBti0060420	0.297142039344303	0.00109553963928598	0.0572602634707804	0.0191326335731065	0.984735298363714	NA	chr2R	4567821	4568539	+	transposable_element	NA
FBgn0033863	0.925055225209837	-0.000865254681345584	0.0966180638650767	-0.00895541316739567	0.992854709606282	NA	chr2R	13665113	13667756	+	protein_coding	CG13337
FBgn0063385	0.854825793741467	0.0214120290925096	0.0875477592226003	0.244575409840782	0.806785205989484	NA	chr2R	17699701	17699788	+	snoRNA	snoRNA:Me28S-A3407a
FBtr0472722_df_nrg	0	NA	NA	NA	NA	NA	chr2R	15657082	15657105	+	miRNA	NA
FBgn0266811	0.387933978211203	-0.00228564507870806	0.0579848111087048	-0.0394179964546774	0.968557131963572	NA	chr2R	17131115	17131552	-	protein_coding	CG45273
FBtr0304517_df_nrg	0	NA	NA	NA	NA	NA	chr2R	20585331	20585353	-	miRNA	NA
FBti0061202	0	NA	NA	NA	NA	NA	chr2R	4490391	4490434	-	transposable_element	NA
FBti0018983	0	NA	NA	NA	NA	NA	chr2R	5227782	5232857	-	transposable_element	NA
FBgn0050272	0.289617146209547	-0.0105470268220425	0.0575703965284058	-0.183202261197533	0.854639320216214	NA	chr2R	22829643	22831877	+	protein_coding	MFS1
FBti0060550	0	NA	NA	NA	NA	NA	chr2R	5085282	5085316	-	transposable_element	NA
RR00128_transposable_element	0	NA	NA	NA	NA	NA	chr2R	223766	225394	+	transposable_element	NA
FBti0061693	1.49493391400416	0.0792958997947635	0.127586304662906	0.621507927549669	0.534265480120985	NA	chr2R	4557358	4557397	+	transposable_element	NA
FBti0062378	0.193966989105602	0.0010765374556908	0.0572683073226587	0.0187981364566168	0.985002140453375	NA	chr2R	5633061	5633317	-	transposable_element	NA
FBti0064138	0.900971152325153	0.0035015122804319	0.0949153055777396	0.0368909129999483	0.970571985192542	NA	chr2R	4887896	4888277	+	transposable_element	NA
FBgn0261293	0.143132168438522	-0.0181871816467501	0.0571925665763602	-0.317999046650016	0.750485660068158	NA	chr2R	16468208	16468934	+	protein_coding	CheB53b
FBgn0086532	0	NA	NA	NA	NA	NA	chr2R	13168497	13170744	+	protein_coding	Spt-I
FBgn0028560	1.92468432449238	0.0273434358811867	0.133853084957559	0.204279459751387	0.838135120276165	NA	chr2R	10085441	10087127	-	protein_coding	sut4
FBgn0266817	2.56662901236524	-0.183999327272086	0.142701695156172	-1.2893983289457	0.197259642072427	NA	chr2R	12593194	12593827	-	ncRNA	lncRNA:CR45279
FBti0059729	0	NA	NA	NA	NA	NA	chr2R	6294164	6320928	+	transposable_element	NA
FBti0061094	0.842563032187704	-0.000200619729096774	0.0961042055343219	-0.00208752289227474	0.998334398923644	NA	chr2R	5176057	5177460	+	transposable_element	NA
FBgn0265839	0.0749188935517645	0.0141668483980452	0.0569664628364392	0.248687520563119	0.803602502784138	NA	chr2R	20007094	20007645	+	ncRNA	lncRNA:CR44628
FBgn0033728	2.12664157602983	-0.0306863542459741	0.144970186193053	-0.211673552002685	0.832361722992153	NA	chr2R	12402215	12405108	+	protein_coding	Cpr49Ae
FBgn0086030	0	NA	NA	NA	NA	NA	chr2R	24628626	24628744	-	snoRNA	snoRNA:Me18S-G393
FBgn0029501	0.78661251885471	0.0482686026991929	0.0845775491407067	0.570702310360061	0.568201452425735	NA	chr2R	24494517	24497024	+	protein_coding	Crtp
FBti0062343	0	NA	NA	NA	NA	NA	chr2R	5525233	5525339	-	transposable_element	NA
FBgn0050471	0.44280774264558	0.0210034009501179	0.0616532635629418	0.340669734841783	0.733352225272154	NA	chr2R	15533519	15537782	+	protein_coding	CG30471
FBgn0265061	0.292969955542051	0.00541112245673808	0.0575789945830912	0.0939773696279011	0.925127133583691	NA	chr2R	7023395	7024096	-	ncRNA	lncRNA:CR44172
FBgn0053374	0	NA	NA	NA	NA	NA	chr2R	19758361	19758496	-	rRNA	5SrRNA:CR33374
FBgn0035068	0.0715660842192608	-0.010959939289574	0.0569664628364392	-0.192392835079859	0.847434504345902	NA	chr2R	24797924	24798613	+	protein_coding	CG12849
FBgn0263481	0.596817613551361	0.0315970044693018	0.0683751741912705	0.462112233614402	0.64400083766759	NA	chr2R	10536744	10536905	-	snoRNA	snoRNA:lola-b
FBgn0263377	0	NA	NA	NA	NA	NA	chr2R	15682568	15684933	-	ncRNA	asRNA:CR43429
FBgn0034788	1.06759582330095	-0.0333797590912676	0.0994535559921792	-0.335631629842301	0.737148669077699	NA	chr2R	22871189	22874427	+	protein_coding	CG13532
FBti0061256	1.09292198484914	-0.00220811019131593	0.0983363915913114	-0.0224546595170269	0.982085279334657	NA	chr2R	5328094	5328420	+	transposable_element	NA
FBgn0033640	0.762697202123676	0.000842626608944437	0.0869546383372349	0.00969041588875905	0.992268287781447	NA	chr2R	11654897	11655762	+	protein_coding	CG13198
FBgn0261807	0.292005843992902	0.00109554069500299	0.0572602634624114	0.0191326520130694	0.984735283653445	NA	chr2R	19635278	19635941	+	protein_coding	CG42753
FBgn0033942	3.25405996693382	0.0547936778047238	0.165220957122873	0.33163878698496	0.74016202777709	NA	chr2R	14512558	14515211	-	protein_coding	Cpr51A
FBgn0046294	0.143132168438522	-0.0181871816467501	0.0571925665763602	-0.317999046650016	0.750485660068158	NA	chr2R	17246529	17247383	-	protein_coding	CG12699
FBgn0262410	0	NA	NA	NA	NA	NA	chr2R	19660868	19660942	-	pre_miRNA	mir-6-2
FBgn0041706	1.1914587971966	0.0328072404309338	0.107874755758868	0.304123427210975	0.761033859313701	NA	chr2R	24114397	24116359	+	protein_coding	CG3253
FBti0061517	0	NA	NA	NA	NA	NA	chr2R	25216163	25216486	+	transposable_element	NA
FBgn0262838	0.143132168438522	-0.0181871816467501	0.0571925665763602	-0.317999046650016	0.750485660068158	NA	chr2R	18381392	18381844	-	protein_coding	BomT1
FBgn0265307	0.149837787103529	0.024499444977583	0.0572188573434056	0.428170818416502	0.668526760313674	NA	chr2R	8277344	8277995	+	ncRNA	lncRNA:CR44280
FBti0061402	0.581346879744493	0.0394261684451136	0.0740815508359952	0.532199555762499	0.594587790617718	NA	chr2R	5315740	5316103	-	transposable_element	NA
FBgn0015040	0.247504100789087	0.00556952021312758	0.0572502273453888	0.0972838095389009	0.922501013125624	NA	chr2R	24631062	24632923	+	protein_coding	Cyp9c1
RR48329_transposable_element	2.84932874093348	-0.0807150252780019	0.150484551542473	-0.536367517134945	0.591704576404031	NA	chr2R	1907273	1911953	+	transposable_element	NA
FBti0063026	0	NA	NA	NA	NA	NA	chr2R	12390703	12390762	-	transposable_element	NA
FBgn0053544	0.149837787103529	0.024499444977583	0.0572188573434056	0.428170818416502	0.668526760313674	NA	chr2R	16778364	16778994	+	protein_coding	Vkor
FBgn0061356	2.98191613021607	0.313671258365359	0.158149060955567	1.98338995167025	0.047323888656917	NA	chr2R	10883546	10884936	+	protein_coding	CG18003
FBti0063862	3.36323702667289	-0.106195814649477	0.166832420898485	-0.63654183088367	0.524423325233493	NA	chr2R	5989458	5989810	-	transposable_element	NA
FBgn0053140	0.590111994886353	-0.000696474893879459	0.0742675188041604	-0.00937792059158496	0.9925176116213	NA	chr2R	7178389	7180730	+	protein_coding	CG33140
FBti0019035	0.119048095553837	-0.010959939289574	0.0569664628364392	-0.192392835079859	0.847434504345902	NA	chr2R	5486199	5487297	+	transposable_element	NA
FBti0059790	0	NA	NA	NA	NA	NA	chr2R	6169880	6169911	-	transposable_element	NA
FBtr0309597_df_nrg	0	NA	NA	NA	NA	NA	chr2R	18720234	18720256	+	miRNA	NA
FBti0062397	0	NA	NA	NA	NA	NA	chr2R	11156123	11156180	+	transposable_element	NA
FBgn0265837	0	NA	NA	NA	NA	NA	chr2R	19925494	19925845	-	ncRNA	lncRNA:CR44626
FBgn0033848	0	NA	NA	NA	NA	NA	chr2R	13515258	13517452	+	protein_coding	CG13330
FBgn0266433	0.636774731751181	0.0258307795154054	0.0776453093641713	0.332676625631745	0.739378395526733	NA	chr2R	22476384	22477295	-	protein_coding	CG45063
FBgn0263981	3.51941577553659	0.147820765881303	0.171308581209526	0.862891775984678	0.388196972769228	NA	chr2R	16288926	16291474	-	ncRNA	asRNA:CR43730
FBti0019896	0.0749188935517645	0.0141668483980452	0.0569664628364392	0.248687520563119	0.803602502784138	NA	chr2R	5026791	5027534	+	transposable_element	NA
FBgn0050083	0.435138012431424	-0.0194129297707667	0.066434320402803	-0.292212363324599	0.770124259400459	NA	chr2R	15711596	15712644	-	protein_coding	CG30083
FBti0060411	0.521079445529848	0.0452683127028248	0.065792013608687	0.688051789569299	0.491420168478532	NA	chr2R	6709697	6710017	+	transposable_element	NA
FBgn0034377	2.93026000790248	-0.0182236948050162	0.155333254072935	-0.117319983501147	0.906606489839351	NA	chr2R	18696584	18697345	+	protein_coding	CG15071
FBtr0304246_df_nrg	0	NA	NA	NA	NA	NA	chr2R	9621260	9621283	-	miRNA	NA
FBgn0086029	0	NA	NA	NA	NA	NA	chr2R	24251268	24251384	+	snoRNA	snoRNA:Me18S-A1597
FBti0063684	1.27797902173348	-0.00710192305885159	0.111096697894682	-0.0639255998912235	0.949029468198094	NA	chr2R	5771089	5771448	-	transposable_element	NA
FBgn0262414	0	NA	NA	NA	NA	NA	chr2R	19661288	19661369	-	pre_miRNA	mir-4
FBgn0033042	0	NA	NA	NA	NA	NA	chr2R	5795412	5796710	+	protein_coding	Tsp42A
FBgn0034481	0.0749188935517645	0.0141668483980452	0.0569664628364392	0.248687520563119	0.803602502784138	NA	chr2R	20146117	20146824	+	protein_coding	CG11041
FBti0061426	0	NA	NA	NA	NA	NA	chr2R	25133022	25133151	+	transposable_element	NA
FBgn0262307	0	NA	NA	NA	NA	NA	chr2R	16895222	16895308	-	pre_miRNA	mir-990
FBgn0265858	0	NA	NA	NA	NA	NA	chr2R	20509394	20509695	+	ncRNA	lncRNA:CR44647
FBgn0264339	5.11910005910179	0.0554280638934234	0.184675268218477	0.300137990474447	0.764071902029835	NA	chr2R	23444136	23491997	+	protein_coding	CG43795
FBgn0262370	0	NA	NA	NA	NA	NA	chr2R	20606066	20606154	+	pre_miRNA	mir-7
FBgn0265644	1.06910309886189	0.017580808134563	0.105741882374153	0.166261539324179	0.867951131905364	NA	chr2R	9214094	9215145	+	ncRNA	lncRNA:CR44451
FBgn0284083	0	NA	NA	NA	NA	NA	chr2R	10351532	10352161	-	protein_coding	CG46305
FBti0062291	3.0310728919918	-0.0130796758730288	0.15331202629308	-0.085314089111476	0.932011690879283	NA	chr2R	5403000	5403159	-	transposable_element	NA
FBgn0053012	3.53352225440207	-0.107162983225264	0.174221587245869	-0.615095895516271	0.538491392532399	NA	chr2R	12367352	12370886	+	protein_coding	CG33012
FBti0062371	0.0715660842192608	-0.010959939289574	0.0569664628364392	-0.192392835079859	0.847434504345902	NA	chr2R	4571048	4571205	-	transposable_element	NA
FBgn0266009	0.222223145792538	-0.011001774897113	0.0569664628364392	-0.193127225200924	0.846859331384148	NA	chr2R	23113576	23114377	-	ncRNA	lncRNA:CR44782
FBti0061069	0.0715660842192608	-0.010959939289574	0.0569664628364392	-0.192392835079859	0.847434504345902	NA	chr2R	7022714	7023119	+	transposable_element	NA
FBgn0085253	0.0749188935517645	0.0141668483980452	0.0569664628364392	0.248687520563119	0.803602502784138	NA	chr2R	11237171	11237644	-	protein_coding	CG34224
FBti0018933	0	NA	NA	NA	NA	NA	chr2R	6290552	6291572	-	transposable_element	NA
FBti0062564	0	NA	NA	NA	NA	NA	chr2R	16383200	16383298	+	transposable_element	NA
FBgn0034364	0	NA	NA	NA	NA	NA	chr2R	18616691	18619328	-	protein_coding	CG5493
FBti0018898	0	NA	NA	NA	NA	NA	chr2R	6256437	6258986	+	transposable_element	NA
FBgn0265577	1.11648867945268	-0.0692135852524753	0.107533055043132	-0.643649389712896	0.519802815405912	NA	chr2R	17671067	17671295	+	protein_coding	IBIN
FBgn0033723	0.659522151884975	0.00860638604208686	0.0837491977079529	0.102763802849775	0.918150434263396	NA	chr2R	12379613	12380426	-	protein_coding	CG13155
FBgn0053627	0	NA	NA	NA	NA	NA	chr2R	12411010	12411678	+	protein_coding	CG33627
FBgn0040513	1.01189186083631	0.0550199002807839	0.0964492889172037	0.570454182695068	0.5683696891852	NA	chr2R	7443823	7445792	-	protein_coding	kappaB-Ras
FBti0060120	0.217086950441138	-0.011001774897113	0.0569664628364392	-0.193127225200924	0.846859331384148	NA	chr2R	5081198	5081482	+	transposable_element	NA
FBti0060509	0	NA	NA	NA	NA	NA	chr2R	5182817	5182953	+	transposable_element	NA
FBgn0034828	0.367888849093815	0.012634194252281	0.0577555109113248	0.218753051491121	0.82684242054169	NA	chr2R	23157576	23158185	-	protein_coding	CG13545
FBtr0472751_df_nrg	0	NA	NA	NA	NA	NA	chr2R	19661746	19661768	-	miRNA	NA
FBgn0026385	0.360219118879659	-0.0250681951933794	0.0574671643014932	-0.43621771664011	0.662678774981884	NA	chr2R	11319709	11321312	-	protein_coding	Or47b
FBgn0025692	0	NA	NA	NA	NA	NA	chr2R	12875163	12876966	-	protein_coding	Lfg
FBgn0262882	0.0749188935517645	0.0141668483980452	0.0569664628364392	0.248687520563119	0.803602502784138	NA	chr2R	17205207	17205743	+	protein_coding	CG43237
FBgn0015001	3.11646257204217	-0.108183886095434	0.156893016821384	-0.689539205040573	0.490484010455621	NA	chr2R	11356719	11357537	+	protein_coding	iotaTry
FBti0061484	0	NA	NA	NA	NA	NA	chr2R	5747168	5747335	+	transposable_element	NA
FBti0060637	4.34961251592174	-0.0987103674959446	0.184327287098955	-0.535516846417603	0.592292511600837	NA	chr2R	5248573	5249437	-	transposable_element	NA
FBgn0266623	0.0715660842192608	-0.010959939289574	0.0569664628364392	-0.192392835079859	0.847434504345902	NA	chr2R	7578664	7579929	-	ncRNA	asRNA:CR45130
FBgn0266041	5.42300913026842	-0.0905295997497305	0.190635007773342	-0.47488444440051	0.634869339501143	NA	chr2R	23908473	23908875	-	ncRNA	asRNA:CR44806
FBgn0050093	1.23050129204738	0.0359221978271593	0.0998322967513667	0.359825417185622	0.718977694397797	NA	chr2R	15944027	15944567	+	protein_coding	COX6AL
FBti0062615	0.652130398785175	-0.021959151398946	0.0691140758422771	-0.317723287641988	0.750694844875874	NA	chr2R	16799415	16799471	+	transposable_element	NA
FBgn0264271	0.579234292419094	-0.0207987335752183	0.0675839099595853	-0.307746822988723	0.758274988012033	NA	chr2R	11432649	11433298	-	ncRNA	lncRNA:CR43771
FBti0018926	0	NA	NA	NA	NA	NA	chr2R	8416495	8417045	+	transposable_element	NA
FBgn0053792	0.265533073324862	-0.00768559337117344	0.0574858754211318	-0.133695334982204	0.893643494191056	NA	chr2R	12632673	12633454	+	protein_coding	CG33792
FBgn0034808	3.71221362566009	-0.241561727918644	0.170810032242924	-1.41421276459393	0.157299441218807	NA	chr2R	22993668	22998884	-	protein_coding	CG9896
FBgn0001285	0.143132168438522	-0.0181871816467501	0.0571925665763602	-0.317999046650016	0.750485660068158	NA	chr2R	8691447	8692844	+	protein_coding	Jon44E
FBgn0050430	0.149837787103529	0.024499444977583	0.0572188573434056	0.428170818416502	0.668526760313674	NA	chr2R	25129431	25129985	+	protein_coding	CG30430
FBti0018918	0.0715660842192608	-0.010959939289574	0.0569664628364392	-0.192392835079859	0.847434504345902	NA	chr2R	24763665	24765583	+	transposable_element	NA
FBti0060622	3.85929485829146	-0.034787798168892	0.172929288400688	-0.201167763370924	0.840567397302781	NA	chr2R	5151979	5152474	+	transposable_element	NA
FBti0061233	0.146484977771025	0.00333265223763019	0.0572090489926864	0.0582539352831443	0.953546359483498	NA	chr2R	4563960	4564201	+	transposable_element	NA
FBgn0033943	7.04821272382381	0.28495024006033	0.20715215509733	1.37556010424534	0.168957865504832	NA	chr2R	14591202	14595617	+	protein_coding	CG12869
FBti0063708	0.0715660842192608	-0.010959939289574	0.0569664628364392	-0.192392835079859	0.847434504345902	NA	chr2R	5790683	5791109	+	transposable_element	NA
FBti0060079	0	NA	NA	NA	NA	NA	chr2R	5035683	5036312	-	transposable_element	NA
FBti0060767	0.0749188935517645	0.0141668483980452	0.0569664628364392	0.248687520563119	0.803602502784138	NA	chr2R	21726998	21727050	-	transposable_element	NA
FBgn0265659	0.371241658426319	0.0266339214990449	0.0577577532573402	0.461131536408232	0.644704237151999	NA	chr2R	16845494	16845995	+	ncRNA	lncRNA:CR44466
FBgn0050198	0	NA	NA	NA	NA	NA	chr2R	25076004	25076076	+	tRNA	tRNA:Ala-CGC-1-1
FBti0061435	0.368708123563563	-0.00915363066566737	0.0626406582310741	-0.146129222204222	0.88381937803963	NA	chr2R	5638020	5638563	-	transposable_element	NA
FBti0059760	0	NA	NA	NA	NA	NA	chr2R	5583561	5597080	+	transposable_element	NA
FBti0060532	0.175938016569826	0.0141250127905061	0.0569664628364392	0.247953130442054	0.80417067099556	NA	chr2R	5217150	5217299	-	transposable_element	NA
FBgn0050211	0	NA	NA	NA	NA	NA	chr2R	20658103	20658175	-	tRNA	tRNA:Trp-CCA-1-2
FBgn0061188	0.0715660842192608	-0.010959939289574	0.0569664628364392	-0.192392835079859	0.847434504345902	NA	chr2R	24498082	24498669	+	ncRNA	lncRNA:Yu
FBgn0050125	0.0715660842192608	-0.010959939289574	0.0569664628364392	-0.192392835079859	0.847434504345902	NA	chr2R	19094266	19096174	-	protein_coding	Ir56a
FBti0063096	0	NA	NA	NA	NA	NA	chr2R	4776967	4777289	-	transposable_element	NA
FBgn0033520	1.28989207929526	-0.13280624021647	0.102691175543167	-1.29325854450506	0.195921653364199	NA	chr2R	10424435	10425471	+	protein_coding	Prx2540-1
FBgn0266766	3.14570334296375	-0.040737214571874	0.158698674800599	-0.256695367009582	0.797413948331294	NA	chr2R	19784293	19789736	+	ncRNA	lncRNA:CR45231
FBti0063030	0.0715660842192608	-0.010959939289574	0.0569664628364392	-0.192392835079859	0.847434504345902	NA	chr2R	12446464	12446517	+	transposable_element	NA
FBgn0050355	5.49115992144133	-0.103954189142375	0.186605440820248	-0.557080161679269	0.577472661117702	NA	chr2R	8679145	8679953	-	protein_coding	CG30355
FBgn0265853	0.733200823429635	0.0812590155923547	0.0862562180915047	0.942065597011815	0.346159056712155	NA	chr2R	20315294	20315995	+	ncRNA	lncRNA:CR44642
FBgn0050447	0.0715660842192608	-0.010959939289574	0.0569664628364392	-0.192392835079859	0.847434504345902	NA	chr2R	19947195	19948080	+	protein_coding	CG30447
FBti0019926	0	NA	NA	NA	NA	NA	chr2R	5566529	5569024	-	transposable_element	NA
FBti0062340	0.143132168438522	-0.0181871816467501	0.0571925665763602	-0.317999046650016	0.750485660068158	NA	chr2R	4495946	4496310	-	transposable_element	NA
FBgn0034484	1.09920478932039	-0.0312895574175715	0.097897117103267	-0.319616739934901	0.749258882891275	NA	chr2R	20231828	20234927	+	protein_coding	CG11044
FBgn0085222	0.149837787103529	0.024499444977583	0.0572188573434056	0.428170818416502	0.668526760313674	NA	chr2R	17508994	17511394	+	protein_coding	CG34193
FBgn0259219	2.32713770387025	0.169022775570989	0.150643074825128	1.1220082686655	0.261858924215387	NA	chr2R	13260100	13266336	+	protein_coding	CG42319
FBtr0304340_df_nrg	0	NA	NA	NA	NA	NA	chr2R	10885567	10885588	+	miRNA	NA
FBgn0261698	2.1410158430445	0.0197129221537587	0.140955052891215	0.13985253986583	0.888776500355816	NA	chr2R	10322194	10416996	-	protein_coding	SLO2
FBgn0050325	0.149837787103529	0.024499444977583	0.0572188573434056	0.428170818416502	0.668526760313674	NA	chr2R	17877542	17880012	-	protein_coding	CG30325
FBgn0053632	0.222223145792538	-0.011001774897113	0.0569664628364392	-0.193127225200924	0.846859331384148	NA	chr2R	12522022	12522731	+	protein_coding	CG33632
FBgn0040729	1.39224387048833	-0.133344135200198	0.102826030529527	-1.29679356981409	0.194702223756892	NA	chr2R	19690797	19691078	+	protein_coding	CG15126
FBgn0086023	0.299675574207058	0.0369738956091659	0.0575841800073022	0.642084260025537	0.520818475152618	NA	chr2R	21325217	21325323	+	snoRNA	snoRNA:Me28S-A2589a
FBgn0262402	0	NA	NA	NA	NA	NA	chr2R	20583876	20583960	-	pre_miRNA	mir-311
FBti0062589	6.10905831627719	-0.250432581348528	0.200791292908389	-1.24722829222873	0.212313801811037	NA	chr2R	4837568	4838076	-	transposable_element	NA
FBgn0050464	0.807343782406891	0.020994390491447	0.0777445632908065	0.270043197913617	0.787127020548909	NA	chr2R	15506581	15508366	+	protein_coding	Ir52d
FBgn0053359	0	NA	NA	NA	NA	NA	chr2R	19763912	19764047	-	rRNA	5SrRNA:CR33359
FBgn0053476	0	NA	NA	NA	NA	NA	chr2R	10409984	10410570	-	protein_coding	CG33476
FBti0060634	1.02823027544854	-0.0102925158720759	0.10459061751207	-0.0984076403496535	0.92160860800804	NA	chr2R	5191386	5192239	+	transposable_element	NA
FBgn0260436	0	NA	NA	NA	NA	NA	chr2R	11864160	11864941	+	protein_coding	CG42531
FBgn0035008	0.289617146209547	-0.0105470268220425	0.0575703965284058	-0.183202261197533	0.854639320216214	NA	chr2R	24474298	24475261	+	protein_coding	CG3494
FBti0018916	5.97033858942795	-0.0654648167081343	0.194490127819521	-0.336597119052146	0.736420628268923	NA	chr2R	18111737	18115542	+	transposable_element	NA
FBti0060769	0	NA	NA	NA	NA	NA	chr2R	21774896	21775043	-	transposable_element	NA
FBti0060798	0	NA	NA	NA	NA	NA	chr2R	4632856	4633174	+	transposable_element	NA
FBgn0263707	0.0715660842192608	-0.010959939289574	0.0569664628364392	-0.192392835079859	0.847434504345902	NA	chr2R	23079379	23079715	-	protein_coding	CG43659
FBgn0050268	0.941168753556258	0.0732007012730437	0.0892526903658059	0.820151201863244	0.412129916458274	NA	chr2R	22712700	22717247	+	protein_coding	CG30268
FBti0060151	0.514228989785441	-0.0178844757201513	0.0704703905084891	-0.253787095418421	0.799660043492554	NA	chr2R	5123514	5123650	+	transposable_element	NA
FBgn0033278	0.340451966876627	0.00161328180739381	0.0612240745413277	0.0263504482424607	0.978977816983798	NA	chr2R	8259840	8260483	+	protein_coding	CG14759
FBgn0034665	0.289617146209547	-0.0105470268220425	0.0575703965284058	-0.183202261197533	0.854639320216214	NA	chr2R	21837604	21838798	-	protein_coding	CG4372
FBgn0266439	0	NA	NA	NA	NA	NA	chr2R	24411869	24415295	+	protein_coding	CG45069
FBgn0000577	0.704988006637938	-8.21571324137362e-05	0.0805525915959207	-0.001019919170644	0.999186222381563	NA	chr2R	11524005	11528210	-	protein_coding	en
FBti0060886	0	NA	NA	NA	NA	NA	chr2R	4785737	4786187	-	transposable_element	NA
FBgn0033778	0.0749188935517645	0.0141668483980452	0.0569664628364392	0.248687520563119	0.803602502784138	NA	chr2R	12872786	12875012	-	protein_coding	Balat
FBgn0266432	1.10232989453055	0.0394655246210533	0.10284700928916	0.383730405908975	0.701178274072101	NA	chr2R	22472994	22476314	-	protein_coding	CG45062
FBti0061486	3.62277237214586	0.0814739581975859	0.173598058586072	0.469325284287036	0.638837145049753	NA	chr2R	5784615	5785717	+	transposable_element	NA
FBgn0265642	0.146484977771025	0.00333265223763019	0.0572090489926864	0.0582539352831443	0.953546359483498	NA	chr2R	8310520	8311234	-	ncRNA	lncRNA:TS18
FBgn0050080	0	NA	NA	NA	NA	NA	chr2R	15698725	15701696	-	protein_coding	CG30080
FBti0061455	0	NA	NA	NA	NA	NA	chr2R	25195994	25196343	-	transposable_element	NA
FBgn0259737	2.67208198969422	-0.000807023327001974	0.153457890283051	-0.00525892364031222	0.995804005361895	NA	chr2R	15202192	15202987	+	protein_coding	CG42391
FBgn0011935	0	NA	NA	NA	NA	NA	chr2R	6190128	6190202	-	tRNA	tRNA:Asn-GTT-1-7
FBgn0053438	0	NA	NA	NA	NA	NA	chr2R	19734771	19734906	-	rRNA	5SrRNA:CR33438
FBtr0472708_df_nrg	0	NA	NA	NA	NA	NA	chr2R	20606120	20606142	+	miRNA	NA
FBgn0265665	0.119048095553837	-0.010959939289574	0.0569664628364392	-0.192392835079859	0.847434504345902	NA	chr2R	19504774	19505462	+	ncRNA	lncRNA:CR44472
FBti0019278	0.970919406895193	-0.0308694324949685	0.0926312354169946	-0.333250791226143	0.738944981234191	NA	chr2R	9352279	9361370	-	transposable_element	NA
FBgn0265844	0	NA	NA	NA	NA	NA	chr2R	20090794	20091295	+	ncRNA	lncRNA:CR44633
